created_at,new_date,id,id_str,username,tweet,quote_count,reply_count,retweet_count,favorite_count,geo,lang,user_id_str,conversation_id,conversation_id_str,media_url_https,media_type
Tue Feb 01 04:00:49 +0000 2022,01/02/2022 04:00:49,1488361670921523200,1488361670921523203,SammiSoh,"Polisi penyamar beli narkoba, ternyata pengedar sdh tahu dia polisi dan kasih garam dan gula dlm transaksi ini, untung jutaan\n\nSaking marahnya polisi tangkap pengedar dgn pasal narkoba padahal tdk ada narkoba yg terlibat\n\nKekonyolan begini cuma ada di Indo\nhttps://t.co/Fs84LQzlmZ https://t.co/9WKn0UbIb0",2493,990,5921,18238,,in,795498951336075264,1488361670921523200,1488361670921523203,https://pbs.twimg.com/media/FKe5C_xVEAQNZ4T.jpg,photo
Tue Feb 01 05:20:00 +0000 2022,01/02/2022 05:20:00,1488381597237887000,1488381597237886977,democrazymedia,"Panas! Kerap Obok-obok Islam, Ade Armando Ditantang Warga Kalbar Duel Sampai Mati\nhttps://t.co/hasQPGp7b6",34,152,395,1680,,in,1243804423001763841,1488381597237887000,1488381597237886977,,
Tue Feb 01 08:46:53 +0000 2022,01/02/2022 08:46:53,1488433661821452300,1488433661821452289,KuretaID,"Apresiasi Satgas Pangan Polri Ungkap Penyalahgunaan Pupuk Bersubsidi, RMI: Kinerja Terukur \n\nhttps://t.co/mW2emDSoBL",0,0,0,0,,in,1369734116191608833,1488433661821452300,1488433661821452289,,
Tue Feb 01 09:48:11 +0000 2022,01/02/2022 09:48:11,1488449088290898000,1488449088290897921,Fahmiilhamroma1,"@txtdrberseragam Dari awal daftar aja motivasinya masuk Polri udh gak bener, pgn bikin mantan nyesel lah, pgn jd mantu idaman lah, ini lah, itu lah. Pantes kinerja Polisi semakin kesini semakin bobrok. Motivasi nya cmn pgn nyari cewek, bukan menjadi tauladan yg baik bagi masyarakat",0,1,0,1,,in,1414960305537433601,1488430730095267800,1488430730095267844,,
Tue Feb 01 10:49:33 +0000 2022,01/02/2022 10:49:33,1488464531135561700,1488464531135561728,NakalBudi,@DivHumas_Polri Anak 2 ini sangat antusias mengikuti program Polisi Dengan penuh kasi sayang ibu 2 Polwan memberi penjelasan pada Anak 2 yang sangat lugu jjaran Polri semakin menunjukan kuwalitas kinerja yang sangat baik kepada lapisan masyarakat Bravo Polri..🙏🙏,0,0,0,0,,in,1475835037199126531,1488410114185101300,1488410114185101314,,
Tue Feb 01 11:54:37 +0000 2022,01/02/2022 11:54:37,1488480908932161500,1488480908932161536,PDI_Perjuangan,"“Satpam diharapkan dapat memberikan kontribusi positif dalam rangka mendukung pemeliharaan kamtibmas. Selama ini, Satpam mampu menunjukkan kinerja yang baik dalam membantu tugas Polri,” ujar Politisi PDI Perjuangan itu",0,1,0,0,,in,153407983,1.48848E+18,1488480901789270020,,
Tue Feb 01 12:38:00 +0000 2022,01/02/2022 12:38:00,1488491826172825600,1488491826172825603,wiragaksableng,"Ini harusnya jadi tamparan keras buat Polri, memilih hukum jalanan menjadi bukti ketidakpuasan masyarakat terhadap kinerja kalian.",0,1,0,0,,in,52699586,1488491826172825600,1488491826172825603,,
Tue Feb 01 15:12:13 +0000 2022,01/02/2022 15:12:13,1488530636143046700,1488530636143046661,Galihzainur1,@CasanovaX8X @ListyoSigitP @DivHumas_Polri @Aryprasetyo85 @AnakLolina2 @Cintada16 @KaredokLeunca__ @Humasrespamekas @HumasPoldaJatim Setahun terakhir Kinerja Kepolisian mengalami Penurunan dan sangat memprihatinkan. Banyak masalah yg Ngambang hingga tidak adanya ketegasan...@ListyoSigitP mohon Evaluasi ulang. #PERCUMA_LAPORPOLISI 👈 dan ini hasilnya.,0,1,0,0,,in,1094941781022502912,1488502809209491500,1488502809209491462,,
Tue Feb 01 18:22:15 +0000 2022,01/02/2022 18:22:15,1488578456468488200,1488578456468488192,Seto_Nugroho30,Kinerja @DivHumas_Polri \n\nMEMALUKAN 😅😅😅😅\n\nPak @jokowi apa salah kami ??,0,0,0,0,,in,758034584,1488578456468488200,1488578456468488192,,
Wed Feb 02 00:24:45 +0000 2022,02/02/2022 00:24:45,1488669685713621000,1488669685713620993,Julhan_Htbarat,"Edy Mulyadi Tersangka, Legislator Hukum Apresiasi Kinerja Polri https://t.co/rmIVQkkyMj",0,0,0,3,,in,543929924,1488669685713621000,1488669685713620993,,
Wed Feb 02 01:55:16 +0000 2022,02/02/2022 01:55:16,1488692463066050600,1488692463066050563,kersopesawatgm1,"@HusinShihab @nyonkambondayak @ListyoSigitP @DivHumas_Polri Melihat kinerja Polri semakin lemah, @tni_ad sdh selayaknya ikut membantu mengamankan.",0,0,0,0,,in,1227255428624470016,1488545042004267000,1488545042004267012,,
Wed Feb 02 02:10:09 +0000 2022,02/02/2022 02:10:09,1488696209157935000,1488696209157935104,seneng_ngemil,Sambut baik kita utk kinerja Polri. Prokes Tangkal Omicron https://t.co/FqY8oaQ2A7,0,0,0,0,,in,1458237703837814787,1488696209157935000,1488696209157935104,https://pbs.twimg.com/media/FKjpTufakAA7ly8.jpg,photo
Thu Feb 03 01:49:20 +0000 2022,03/02/2022 01:49:20,1489053356723413000,1489053356723412992,masraken_,"@mazzini_gsp @ListyoSigitP Yang seharusnya diganti itu kinerja POLRI bukan seragam Satpam. Masyarakat selama ini kan jengkel sama Polisi-Polisi malas yang baru gerak kalau udah viral di medsos/TV. PR besar lo itu Pak, anak buahnya yang gak bisa kerja tuh diganti aja!",0,0,0,0,,in,1197384739251871746,1488747191166713900,1488747191166713856,,
Thu Feb 03 02:46:47 +0000 2022,03/02/2022 02:46:47,1489067815910838300,1489067815910838274,HssHumas,TOKOH ADAT DAYAK LOKSADO MEMBERIKAN APRESIASI ATAS KINERJA POLRI. https://t.co/m4kzOFwpZq,0,0,0,0,,in,1248159969007951873,1489067815910838300,1489067815910838274,https://pbs.twimg.com/ext_tw_video_thumb/1489067007999840258/pu/img/bUcLbfOJDhg8CHuB.jpg,photo
Thu Feb 03 03:47:03 +0000 2022,03/02/2022 03:47:03,1489082984146043000,1489082984146042882,ferisaragi1,"Polri harus independen, jangan tebang pilih. Perbaiki kepercayaan rakyat dengan bukti kinerja yg profesional.\nhttps://t.co/lqQ8KHuKyZ https://t.co/xS9onWQ2Tg",0,0,0,0,,in,1157231962660036609,1489082984146043000,1489082984146042882,https://pbs.twimg.com/media/FKpJE9laQAEnS2y.jpg,photo
Thu Feb 03 03:51:59 +0000 2022,03/02/2022 03:51:59,1489084222304227300,1489084222304227329,imranimuhammad8,"Kinerja Lembaga Pemerintah (Polri, Kejaksaan Ri, &amp; Kpk) Semakin Efektif, Berani Dan Profesional Dalam Memberantas Korupsi\n\nPPKM Tangkal Omicron https://t.co/HFuE2qlOY1",0,0,0,0,,in,1396691143404834817,1489084100715577300,1489084100715577345,https://pbs.twimg.com/media/FKpKM8pVgAMcFGN.jpg,photo
Thu Feb 03 04:03:57 +0000 2022,03/02/2022 04:03:57,1489087233592561700,1489087233592561664,ferisaragi1,"Bravo Polri, tingkatkan kinerja tanpa pandang bulu. \nhttps://t.co/gOVxJINO89",0,0,0,0,,in,1157231962660036609,1489087233592561700,1489087233592561664,,
Thu Feb 03 07:47:12 +0000 2022,03/02/2022 07:47:12,1489143417871515600,1489143417871515648,mimbarbangsaid,Kewenangan Propam Polri Diperluas Untuk Tingkatkan Kinerja https://t.co/hrUEK2y9ub,0,0,0,0,,in,778023224,1489143417871515600,1489143417871515648,,
