created_at;id;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;geo;lang;user_id_str;conversation_id;conversation_id_str;media_url_https;media_type;username
Thu Sep 29 17:16:27 +0000 2022;1575534988518228000;1575534988518227968;"Banyak dari kalangan masyarakat yang mengapresiasi kinerja polri dalam menangani kasus Sambo\n#P21SamboCS https://t.co/yq19o8MtAI";0;0;0;0;;in;1570427564753301504;1575534988518228000;1575534988518227968;"https://pbs.twimg.com/ext_tw_video_thumb/1575534944956297216/pu/img/aGVWtf1kPNFcJIEM.jpg";"photo";Jessica70698301
Thu Sep 29 16:52:52 +0000 2022;1575529050730532900;1575529050730532864;"@siapkawalpolri Sejauh ini polri sudah sangat bijak dan kompak dalm menangani kasus sambo, lebih ditingkatkan kembali kinerja nya pak guna menciptakan citra polri yang baik kepada masyarakat luas dan supaya polri juga terlihat bersinergi @ListyoSigitP";0;0;0;0;;in;1575160427700686849;1575392321100972000;1575392321100972033;"";"";naadiiiy
Thu Sep 29 17:48:05 +0000 2022;1575542948670083000;1575542948670083072;"Berkas Perkara Ferdy Sambo Cs Berstatus P-21, Ini Kata Mahfud MD Atas Kinerja Polri dan Kejagung https://t.co/aAJ9cG1NdK https://t.co/hI4hCSHppU";0;0;0;0;;in;2896704344;1575542948670083000;1575542948670083072;"https://pbs.twimg.com/media/Fd1z9kIaUAAdlwc.jpg";"photo";FidaSijoriKepri
Thu Sep 29 16:47:44 +0000 2022;1575527758096388000;1575527758096388096;"@siapkawalpolri @prabowo @ListyoSigitP Pertemuan dua orang yang sangat bersinergi dalam memperdulikan pertahanan dan keamanan negara @prabowo @ListyoSigitP demi terciptanya kesejahteraan rakyat mereka saling support untuk kinerja polri yang semakin baik ini";0;0;0;0;;in;1575160427700686849;1575354889462775800;1575354889462775809;"";"";naadiiiy
Thu Sep 29 16:29:39 +0000 2022;1575523207834370000;1575523207834370048;"@siapkawalpolri Sebuah langkah yang tepat, dari strateginya sangat patut diacungi jempol. Membuktikan kualitas tinggi hasil kinerja anggota polri di bawah pimpinan Pak @ListyoSigitP!👏🏻 bravo pak. Usut sampai tuntas kasusnya";0;0;0;0;;in;1563955848334163968;1574986079790583800;1574986079790583808;"";"";cumabuatbisnis
Thu Sep 29 17:59:53 +0000 2022;1575545918341795800;1575545918341795842;"Berkas Perkara Ferdy Sambo Cs Lengkap, Kinerja Polri Diapresiasi\n\n #Sindonews #BukanBeritaBiasa .https://t.co/cmBhPLy4xN";0;0;0;0;;in;231355136;1575545918341795800;1575545918341795842;"";"";SINDOnews
Thu Sep 29 21:07:15 +0000 2022;1575593067440066600;1575593067440066560;"Apel Pagi Awal Kinerja Polri Yang Presisi.\n\n#divisihumaspolri\n#poldapapua\n#polreswaropen https://t.co/nm2F4k7RTA";0;0;0;2;;in;850495990058557440;1575593067440066600;1575593067440066560;"https://pbs.twimg.com/media/Fd2hfNaUoAA6P99.jpg";"photo";humasreswaropen
Thu Sep 29 16:47:12 +0000 2022;1575527627460604000;1575527627460603904;"@siapkawalpolri Kinerja mana dari Polri di bawah naungan Pak @ListyoSigitP yang tidak patut diacungi jempol? keren dan totalitas masih terlihat sampai detik ini";0;0;0;0;;in;1563955848334163968;1575426952462504000;1575426952462503938;"";"";cumabuatbisnis
Thu Sep 29 16:42:08 +0000 2022;1575526349842051000;1575526349842051073;"@siapkawalpolri Memang kinerja kapolri @ListyoSigitP patut diapresiasi, sebuah prestasi besar membersihkan oknum oknum yang bersemayam dalam institusi, harus membuang rasa ga tega walau harus menangkap teman sendiri. Luar biasa pak, semoga kedepannya @DivHumas_Polri tetap menjaga kondisi ini👍";0;0;0;0;;in;1558407697531572225;1575426952462504000;1575426952462503938;"";"";qonleh_
Thu Sep 29 16:39:38 +0000 2022;1575525723284340700;1575525723284340738;"@siapkawalpolri Perlu adanya apresiasi yang ditujukan kepada bapak @ListyoSigitP karena sudah memberikan ketegasan dan kinerja terbaiknya dalam menuntaskan kasus ini. Sehingga masyarakat bisa memberikan kepercayaannya lagi kepada polri sebagai alat negara dalam menjaga keamanan Indonesia.";0;0;0;1;;in;1550404095147929600;1575426952462504000;1575426952462503938;"";"";axdway
Thu Sep 29 16:53:23 +0000 2022;1575529182129332200;1575529182129332226;"@siapkawalpolri @ListyoSigitP Setuju banget pak dengan kinerja bapak yg luar biasa dan sudah mengembalikan nama @DivHumas_Polri menjadi baik tentunya harapan kita polri memang harus bersih-bersih";0;0;0;0;;in;1564524996512595969;1575055550345547800;1575055550345547777;"";"";DiahYuniarti8
Thu Sep 29 17:27:04 +0000 2022;1575537659266859000;1575537659266859008;"Berkas Perkara Ferdy Sambo Cs Berstatus P-21, Ini Kata Mahfud MD Atas Kinerja Polri dan Kejagung https://t.co/WL3fZD1aXI https://t.co/pd5ZHk5XhU";0;0;0;0;;in;1218111653381693441;1575537659266859000;1575537659266859008;"https://pbs.twimg.com/media/Fd1vJs4aMAApn32.jpg";"photo";kepulauanriau_
Thu Sep 29 16:55:09 +0000 2022;1575529626105172000;1575529626105171968;"@siapkawalpolri Memang patut untuk diapresiasi polri ini @ListyoSigitP karena betu betul sudah melakukan kinerja yang terbaik dalam menangani kasus sambo dan juga bisa mengembalikan kepercayaan publik kpd polri berkat kinerja yg tegas ini";0;0;0;0;;in;1575160427700686849;1575426952462504000;1575426952462503938;"";"";naadiiiy
Thu Sep 29 16:58:58 +0000 2022;1575530585056956400;1575530585056956416;"@siapkawalpolri gokil banget pak, patut diapresiasi kinerja polri yang cepat dan tegas karena sudah membuahkan hasil terhadap kasus ini. segera tindak tegas siapapun oknum polri yang terlibat dalam kasus ini secara adil siapkawalpolri .@ListyoSigitP  @DivHumas_Polri";0;0;0;0;;in;1384608586974695425;1575426952462504000;1575426952462503938;"";"";Littleboybro
Thu Sep 29 16:46:50 +0000 2022;1575527535344906200;1575527535344906250;"@siapkawalpolri Wah keren sekali tidak pandang bulu dalam kasus Sambo @ListyoSigitP. Transparansi hukum juga diperlukan agar masyarakat dapat percaya dengan kinerja polri @DivHumas_Polri.";0;0;0;0;;in;1384079098457116674;1575426952462504000;1575426952462503938;"";"";Sekilasmonteraa
Thu Sep 29 17:02:36 +0000 2022;1575531501831467000;1575531501831467008;"@siapkawalpolri Hmmmm.. bener si tapinya. Kalo kinerja @DivHumas_Polri cuma ‘pencitraan’ ga mungkin skrg Sambo disematkan sebagaj mastermind kasus Brig J ini. Lesseee apakah hukuman berlapis ini berujung pada hukaman mati??? But harusnya iya sih! We will see~";0;0;0;0;;in;1008012970264166400;1575005633258360800;1575005633258360832;"";"";annatjes
Thu Sep 29 16:57:35 +0000 2022;1575530237659476000;1575530237659475968;"@siapkawalpolri keren banget makin lama makin kompak dan patut diapresiasi kinerja polri yang gamain-main karena sudah membuahkan hasil terhadap kasus ini, dan segera tindak tegas siapapun oknum polri yang terlibat dalam kasus ini secara adik. siapkawalpolri  @ListyoSigitP @DivHumas_Polri";0;0;0;0;;in;1384608586974695425;1575392321100972000;1575392321100972033;"";"";Littleboybro
