date,sentence,sentiment
01/02/2022 08:46:53,apresiasi satgas pangan polisi republik indonesia ungkap penyalahgunaan pupuk subsidi rmi kerja ukur,positif
01/02/2022 10:49:33,anak sangat antusias ikut program polisi penuh kasi sayang ibu polwan beri jelas anak sangat lugu jajar polisi republik indonesia makin tunjuk kuwalitas kerja sangat baik lapis masyarakat bravo polisi republik indonesia,positif
01/02/2022 11:54:37,satpam harap beri kontribusi positif rangka dukung pelihara kamtibmas lama satpam mampu tunjuk kerja baik bantu tugas polisi republik indonesia ujar politis pdi juang,positif
02/02/2022 00:24:45,edy mulyadi sangka legislator hukum apresiasi kerja polisi republik indonesia,positif
02/02/2022 01:55:16,lihat kerja polisi republik indonesia makin lemah layak ikut bantu aman,positif
02/02/2022 02:10:09,sambut baik kerja polisi republik indonesia prokes tangkal omicron,positif
03/02/2022 02:46:47,tokoh adat dayak loksado beri apresiasi kerja polisi republik indonesia,positif
03/02/2022 03:47:03,polisi republik indonesia independen tebang pilih baik percaya rakyat bukti kerja profesional,positif
03/02/2022 03:51:59,kerja lembaga perintah polisi republik indonesia jaksa ri kpk makin efektif berani profesional berantas korupsi ppkm tangkal omicron,positif
03/02/2022 04:03:57,bravo polisi republik indonesia tingkat kerja pandang bulu,positif
03/02/2022 07:47:12,wenang propam polisi republik indonesia luas tingkat kerja,positif
06/02/2022 02:21:02,masyarakat indonesia wajib peran aktif bantu kerja kpk polisi republik indonesia jaksa agung masuk presiden jokowi awas guna dana jelang pilpres pilpres,positif
07/02/2022 03:39:09,komitmen kapolri baik citra kerja polisi republik indonesia konsep polisi republik indonesia presisi prediktif responsibilitas transparansi adil transformasi polisi republik indonesia jadi lembaga modern kredibel layan responsif kembang,positif
07/02/2022 04:20:19,kerja polisi republik indonesia makin tingkat ayo ketat prokes,positif
07/02/2022 05:41:50,rupa bentuk reward anggota polisi republik indonesia baik laksana tugas pokok dapat maksimal harap beri harga tingkat kerja anggota polisi republik indonesia metro bekas kota,positif
09/02/2022 04:45:20,terimakasih sobat polisi republik indonesia apresiasi terus tingkat kerja beri lindung ayom layan masyarakat,positif
13/02/2022 03:10:27,berkat kerjasama sinergis seluruh pihak khusus tentara republik indonesia polisi republik indonesia angsur angsur situasi wadas makin baik cipta kondisi lepas pulih situasi lalu giat positif tentara republik indonesia polisi republik indonesia bentuk bakti sosial wadaskondusif,positif
13/02/2022 16:52:46,tangkap duga teroris ketua ji sama anggota mui bengkulu ipw apresiasi kerja polisi republik indonesia densus,positif
14/02/2022 03:00:58,denny siregar aksi tembak thd orang laskar fpi jadi putus tepat anggap ancam nyawa polisi belum polisi bela negara bebas ipda yusmin briptu fikri,positif
14/02/2022 03:01:25,raih rating tinggi nilai kerja polisi republik indonesia kepala polisi daerah sumut terus komitmen tingkat layan masyarakat,positif
14/02/2022 03:02:20,kerja anggota polisi republik indonesia cukup bagus aman bangsa negara depan polisi bela negara,positif
14/02/2022 14:26:48,polisi republik indonesia tebing tinggi raih rating tinggi nilai kerja polisi republik indonesia terus komitmen tingkat layan masyarakat,positif
15/02/2022 02:33:06,raih rating tinggi nilai kerja polisi republik indonesia kepala polisi daerah sumut terus komitmen tingkat layan masyarakat lewat news,positif
15/02/2022 07:40:04,terimakasih kerja bapak tentara republik indonesia polisi republik indonesia moga wadaskondusif,positif
15/02/2022 07:43:27,puslitbang polisi republik indonesia pusat teliti kembang polisi republik indonesia laksana teliti tingkat percaya masyarakat kerja polisi republik indonesia survei indek kamtibmas wilayah polisi republik indonesia tapanuli tengah jajar hari selasa,positif
15/02/2022 08:06:25,bapak kapolri bangga kerja polisi republik indonesia kerja lelah pamrih wadaskondusif,positif
15/02/2022 08:08:15,terimakasih kerja tentara republik indonesia polisi republik indonesia wadaskondusif,positif
15/02/2022 08:30:10,terimakasih tentara republik indonesia polisi republik indonesia kerja peduli warga,positif
15/02/2022 08:33:27,tinggi nilai kerja polisi republik indonesia kepala polisi daerah sumut komit tingkat layan publik via,positif
15/02/2022 14:11:12,tim puslitbang polisi republik indonesia laku teliti tingkat percaya masyarakat kerja polisi republik indonesia polisi republik indonesia bintan lewat co id,positif
16/02/2022 03:30:54,bangga kerja polisi republik indonesia selalu totalitas kpda masyarakat melayanidalampengabdian ayom jaga kamtibmas,positif
16/02/2022 03:47:10,kerja polisi republik indonesia patut apresiasi nusantara miniatur indonesia,positif
16/02/2022 04:29:56,puslitbang polisi republik indonesia teliti tingkat percaya masyarakat kerja polisi republik indonesia bintan,positif
16/02/2022 04:54:58,mantap buat kerja polisi republik indonesia layan masyarakat melayanidalampengabdian,positif
16/02/2022 09:10:15,kerja densus antireror polisi republik indonesia dampak turun indeks risiko laku terorisme beri multiplier effect bangsa indonesia kerja keras densus dampak tingkat stabilitas aman tertib masyarakat,positif
16/02/2022 10:18:09,mantap buat kerja polisi republik indonesia layan masyarakat melayanidalampengabdian,positif
16/02/2022 11:12:32,raih rating tinggi kerja polisi republik indonesia kepala polisi daerah sumut terus komitmen tingkat layan masyarakat,positif
16/02/2022 11:39:49,kerja lembaga perintah polisi republik indonesia jaksa ri kpk makin efektif berani profesional berantas korupsi satu nusantara kuat,positif
16/02/2022 13:16:53,puslitbang polisi republik indonesia survey percaya masyarakat kerja polisi republik indonesia tanjungpinang,positif
16/02/2022 13:16:54,puslitbang polisi republik indonesia survey percaya masyarakat kerja polisi republik indonesia tanjungpinang,positif
17/02/2022 02:16:06,tingkat kerja tangan terorisme densus antiteror kaji tambah personel densusantiteror densustambahpersonel penangananterorisme polisi republik indonesia jenderallistyosigitprabowo,positif
17/02/2022 03:07:58,kerja lembaga perintah polisi republik indonesia jaksa ri kpk makin efektif berani profesional berantas korupsi satu nusantara kuat,positif
20/02/2022 03:58:38,terima kasih jenderal respon kapolri minta sinta aulia anak derita tumor kaki sembuh cita cita jadi polwan polisi republik indonesia responsif,positif
20/02/2022 04:25:42,kepala polisi republik indonesia rohil pimpin rapat anev upaya tingkat kerja polisi republik indonesia,positif
20/02/2022 04:25:50,mantap kerja polisi republik indonesia responsif,positif
20/02/2022 04:27:15,mantaf kerja polisi republik indonesia polisi republik indonesia responsif,positif
20/02/2022 04:38:44,kepala polisi republik indonesia rohil pimpin rapat anev upaya tingkat kerja polisi republik indonesia,positif
20/02/2022 04:49:02,kepala polisi republik indonesia rohil pimpin rapat anev upaya tingkat kerja polisi republik indonesia,positif
20/02/2022 10:55:01,kerja baik tentara republik indonesia polisi republik indonesia peduliwadas,positif
21/02/2022 00:32:24,lebih lanjut presiden tegas polisi republik indonesia ragu berantas mafia tanah aparat beking cc kapolri kasus dokter momentum polisi republik indonesia bukti kerja pihak masyarakat jalan perintah pak jokowi,positif
21/02/2022 08:22:20,tim pusat teliti kembang puslitbang polisi republik indonesia laku teliti tingkat percaya masyarakat kerja polisi republik indonesia polresta sidoarjo senin,positif
21/02/2022 10:08:36,tim puslitbang polisi republik indonesia rangka teliti tingkat percaya masyarakat kerja polisi republik indonesia polisi republik indonesia mempawah tahun,positif
