date,sentence,sentiment
01/02/2022 04:00:49,polisi samar beli narkoba nyata edar tahu polisi kasih garam gula transaksi untung juta saking marah polisi tangkap edar pasal narkoba padahal narkoba libat konyol begini cuma indo,negatif
01/02/2022 05:20:00,panas kerap obok obok islam ade armando tantang warga kalbar duel mati,negatif
01/02/2022 08:46:53,apresiasi satgas pangan polisi republik indonesia ungkap penyalahgunaan pupuk subsidi rmi kerja ukur,positif
01/02/2022 09:48:11,awal daftar motivasi masuk polisi republik indonesia bener mantan nyesel lah mantu idam lah lah lah pantes kerja polisi makin kesini makin bobrok motivasi cmn nyari cewek bukan jadi tauladan baik masyarakat,negatif
01/02/2022 10:49:33,anak sangat antusias ikut program polisi penuh kasi sayang ibu polwan beri jelas anak sangat lugu jajar polisi republik indonesia makin tunjuk kuwalitas kerja sangat baik lapis masyarakat bravo polisi republik indonesia,positif
01/02/2022 11:54:37,satpam harap beri kontribusi positif rangka dukung pelihara kamtibmas lama satpam mampu tunjuk kerja baik bantu tugas polisi republik indonesia ujar politis pdi juang,positif
01/02/2022 12:38:00,harus jadi tampar keras buat polisi republik indonesia pilih hukum jalan jadi bukti ketidakpuasan masyarakat kerja kalian,negatif
01/02/2022 15:12:13,tahun akhir kerja polisi alami turun sangat prihatin banyak masalah ngambang hingga ada tegas mohon evaluasi ulang percuma laporpolisi hasil,negatif
01/02/2022 18:22:15,kerja malu pak salah,negatif
02/02/2022 00:24:45,edy mulyadi sangka legislator hukum apresiasi kerja polisi republik indonesia,positif
02/02/2022 01:55:16,lihat kerja polisi republik indonesia makin lemah layak ikut bantu aman,positif
02/02/2022 02:10:09,sambut baik kerja polisi republik indonesia prokes tangkal omicron,positif
03/02/2022 01:49:20,ganti kerja polisi republik indonesia bukan seragam satpam masyarakat lama kan jengkel sama polisi polisi malas baru gerak viral media sosial tv pr besar pak anak buah kerja ganti,negatif
03/02/2022 02:46:47,tokoh adat dayak loksado beri apresiasi kerja polisi republik indonesia,positif
03/02/2022 03:47:03,polisi republik indonesia independen tebang pilih baik percaya rakyat bukti kerja profesional,positif
03/02/2022 03:51:59,kerja lembaga perintah polisi republik indonesia jaksa ri kpk makin efektif berani profesional berantas korupsi ppkm tangkal omicron,positif
03/02/2022 04:03:57,bravo polisi republik indonesia tingkat kerja pandang bulu,positif
03/02/2022 07:47:12,wenang propam polisi republik indonesia luas tingkat kerja,positif
04/02/2022 11:43:07,bila masyarakat percaya kerja polisi tebang pilih hukum adil biar intoleran radikalisme bebas kpn tangkap pak sigit,negatif
