sentence,sentiment
samar beli narkoba nyata edar tahu kasih garam gula transaksi untung juta saking marah tangkap edar pasal narkoba padahal narkoba libat konyol begini cuma indo,negatif
panas kerap obok obok islam ade armando tantang warga kalbar duel mati,negatif
awal daftar motivasi masuk bener mantan nyesel lah mantu idam lah lah lah pantes kerja kesini bobrok motivasi cmn nyari cewek bukan tauladan baik,negatif
tampar keras pilih hukum jalan bukti ketidakpuasan kerja kalian,negatif
tahun akhir kerja alami turun prihatin banyak masalah ngambang hingga tegas mohon evaluasi ulang percuma lapor ,negatif
kerja malu salah,negatif
ganti kerja bukan seragam satpam lama kan jengkel sama malas baru gerak viral media sosial tv pr besar anak buah kerja ganti,negatif
bila percaya kerja tebang pilih hukum adil intoleran radikalisme bebas kpn tangkap sigit,negatif
heran deh kerja,negatif
geram banget sama kerja lelet,negatif
kerja preketek,negatif
irjen fadil selamat hari pers kawan kawan bosan kritik kerja,negatif
 percaya kerja kalian asli,negatif
anak buah baca atuh koment netizen indo war biasah kerja bener,negatif
warga wadas bantah nyata bukan terima kunjung serbu,negatif
nah kan kalah ajah rapat dukung kerja menang masa pilih mau dukung program pilih,negatif
astagah sesuai narasumber sini kerja marsamburetan profesional ulang dam coreng institusi depan,negatif
dasar data banyak tinggal omicron komorbid vaksin lengkap wah provokator anti vaksin hrsnya ikut tanggung jawab,negatif
mesti negara hadir tindak provikator anti vaksin pribadi pesimis terhdp kerja,negatif
banyak percaya kerja polis banyak tebang pilih suka keras tonton media malu ayom,negatif
hayo pol kata mau baik kerja banyak keluh memang lebih baik viralkan lapor,negatif
imm jatim desak minta maaf warga wadas presiden jokowi evaluasi kerja wadas,negatif
sjw tu selalu sudut kerja bener mata sjw bahkan anggota sa tembak residivis bawa senjata api sajam serang diri sjw sudut trus sjw teriak semena wadas mbel gedes,negatif
kapan proses ferdinand cepat sekali proses kawal donk kerja,negatif
kasus kayak sinetron episode nambah cerita ngk nyambung lapor masuk juli tahun bulan,negatif
tim puslitbang teliti percaya kerja bintan lewat co id,negatif
heran kerja polkis wakanda serang bau islam sengaja ulur bagai alas untung bukan,negatif
kerja densus antireror dam turun indeks risiko terorisme multiplier effect bangsa kerja keras densus dam stabilitas aman tertib,negatif
kerja terorisme densus antiteror kaji tambah personel densusantiteror densustambahpersonel penangananterorisme jenderallistyosigitprabowo,negatif
mantap kerja responsif,negatif
mantaf kerja responsif,negatif
tindak tegas percaya kerja perintah,negatif
tim puslitbang rangka teliti percaya kerja mempawah tahun,negatif
kerja lembaga perintah jaksa ri kpk efektif berani profesional berantas korupsi,negatif
tim puslitbang teliti percaya kerja mempawah lewat,negatif
semenjak bawah kapolri kerja percaya turun kecewa mohon perhati,negatif
fokus benah internal urus vaksinasi serah menteri sehat puas kerja turun,negatif
noel joman munarman nafi kerja densus,negatif
irwasda polda bengkulu pimpin laksana ingat isra mikraj nabi besar muhammad saw hijriah masehi polda bengkulu tema hikmah isra mikraj nabi besar muhammad saw iman kerja wujud presisi,negatif
yaps emang patut apresiasi kerja tentara soal ngebantu banget dah solid sinergi tentara satu jaga negeri,negatif
apresiasi presiden jokowi kerja seluruh jajar tentara bantu perintah bencana solid sinergi tentara satu jaga negeri,negatif
kerja profesional,negatif
mau dekat hati yo tentara benah diri kerja profesional hindar konflik selesai masalah cara musyawarah mufakat sengketa lahan ujung konflik asal tetap sangka,negatif
kasus munarman kasus hukum bkn politik kait undang undang teroris kerja bumn libat proses hukum tampa minta saksi ngak proses politik siapa cc,negatif
hikmah isra mi raj nabi iman kerja wujud presisi,negatif
isra mi raj nabi muhammad patut contoh tauladan iman kerja isramirajh kimcipedes,negatif
kata survey puas thd kerja jokowi bohong kagak tahu takut sama wag keluarga tentara jokowi percaya sama survey biaya geng sendiri,negatif
turun kasus pandemi covid rupa kerja bagai pihak masuk main peran besar tega ppkm vaksinasi testing tracing jaga aman menko marves jenderal tentara purn luhut binsar pandjaitan,negatif
ingat tahun tema hikmah isra mi raj nabi muhammad saw iman kerja wujud presisi isra mi rajh,negatif
jepara ingat isra mi raj iman kerja wujud presisi,negatif
cepat ganti benar menteri kait masalah sepele mampu rusak kerja perintah jokowi,negatif
bijak menkeu hapus tunjang kerja pns fatal hapus tunjang tiba hancur hidup pns tiba orang pns hilang income juta per bulan angsur barang bayar betul pns tengah gila,negatif
tribratanewsmanggaraitimur tim puslitbang laksana teliti percaya kerja laksana aula lantai iii manggarai timur,negatif
wujud iman kerja wujud presisi sumenep ingat isra mi raj,negatif
hak hak milik anggota masuk keluarga hak upa gaji tunjang keluarga tunjang suami istri anak keluarga tunjang beras lauk pauk tunjang kerja semua atur jelas,negatif
kerja kini kecewa lapor hina nicho proses hukum rindu tegas kapolri era tito idham azis,negatif
kapolrestabes semarang kombes pol irwan anwar hum terima harga giat evaluasi kerja layan publik lingkup th menteri pendayagunaan aparatur negara reformasi birokrasi aula awaloedin djamin lt gedung bareskrim,negatif
