new_date,clean_tweet,stemmed_tweet,sentiment
01/02/2022 04:00:49,polisi penyamar beli narkoba ternyata pengedar sdh tahu dia polisi dan kasih garam dan gula dlm transaksi ini untung jutaan saking marahnya polisi tangkap pengedar dgn pasal narkoba padahal tdk ada narkoba yg terlibat kekonyolan begini cuma ada di indo,"['polisi', 'samar', 'beli', 'narkoba', 'nyata', 'edar', 'tahu', 'polisi', 'kasih', 'garam', 'gula', 'transaksi', 'untung', 'juta', 'saking', 'marah', 'polisi', 'tangkap', 'edar', 'pasal', 'narkoba', 'padahal', 'narkoba', 'libat', 'konyol', 'begini', 'cuma', 'indo']",negatif
01/02/2022 05:20:00,panas kerap obok obok islam ade armando ditantang warga kalbar duel sampai mati,"['panas', 'kerap', 'obok', 'obok', 'islam', 'ade', 'armando', 'tantang', 'warga', 'kalbar', 'duel', 'mati']",negatif
01/02/2022 08:46:53,apresiasi satgas pangan polri ungkap penyalahgunaan pupuk bersubsidi rmi kinerja terukur,"['apresiasi', 'satgas', 'pangan', 'polisi republik indonesia', 'ungkap', 'penyalahgunaan', 'pupuk', 'subsidi', 'rmi', 'kerja', 'ukur']",positif
01/02/2022 09:48:11,dari awal daftar aja motivasinya masuk polri udh gak bener pgn bikin mantan nyesel lah pgn jd mantu idaman lah ini lah itu lah pantes kinerja polisi semakin kesini semakin bobrok motivasi nya cmn pgn nyari cewek bukan menjadi tauladan yg baik bagi masyarakat,"['awal', 'daftar', 'motivasi', 'masuk', 'polisi republik indonesia', 'bener', 'mantan', 'nyesel', 'lah', 'mantu', 'idam', 'lah', 'lah', 'lah', 'pantes', 'kerja', 'polisi', 'makin', 'kesini', 'makin', 'bobrok', 'motivasi', 'cmn', 'nyari', 'cewek', 'bukan', 'jadi', 'tauladan', 'baik', 'masyarakat']",negatif
01/02/2022 10:49:33,anak ini sangat antusias mengikuti program polisi dengan penuh kasi sayang ibu polwan memberi penjelasan pada anak yang sangat lugu jjaran polri semakin menunjukan kuwalitas kinerja yang sangat baik kepada lapisan masyarakat bravo polri,"['anak', 'sangat', 'antusias', 'ikut', 'program', 'polisi', 'penuh', 'kasi', 'sayang', 'ibu', 'polwan', 'beri', 'jelas', 'anak', 'sangat', 'lugu', 'jajar', 'polisi republik indonesia', 'makin', 'tunjuk', 'kuwalitas', 'kerja', 'sangat', 'baik', 'lapis', 'masyarakat', 'bravo', 'polisi republik indonesia']",positif
01/02/2022 11:54:37,satpam diharapkan dapat memberikan kontribusi positif dalam rangka mendukung pemeliharaan kamtibmas selama ini satpam mampu menunjukkan kinerja yang baik dalam membantu tugas polri ujar politisi pdi perjuangan itu,"['satpam', 'harap', 'beri', 'kontribusi', 'positif', 'rangka', 'dukung', 'pelihara', 'kamtibmas', 'lama', 'satpam', 'mampu', 'tunjuk', 'kerja', 'baik', 'bantu', 'tugas', 'polisi republik indonesia', 'ujar', 'politis', 'pdi', 'juang']",positif
01/02/2022 12:38:00,ini harusnya jadi tamparan keras buat polri memilih hukum jalanan menjadi bukti ketidakpuasan masyarakat terhadap kinerja kalian,"['harus', 'jadi', 'tampar', 'keras', 'buat', 'polisi republik indonesia', 'pilih', 'hukum', 'jalan', 'jadi', 'bukti', 'ketidakpuasan', 'masyarakat', 'kerja', 'kalian']",negatif
01/02/2022 15:12:13,setahun terakhir kinerja kepolisian mengalami penurunan dan sangat memprihatinkan banyak masalah yg ngambang hingga tidak adanya ketegasan mohon evaluasi ulang percuma laporpolisi dan ini hasilnya,"['tahun', 'akhir', 'kerja', 'polisi', 'alami', 'turun', 'sangat', 'prihatin', 'banyak', 'masalah', 'ngambang', 'hingga', 'ada', 'tegas', 'mohon', 'evaluasi', 'ulang', 'percuma', 'laporpolisi', 'hasil']",negatif
01/02/2022 18:22:15,kinerja memalukan pak apa salah kami,"['kerja', 'malu', 'pak', 'salah']",negatif
02/02/2022 00:24:45,edy mulyadi tersangka legislator hukum apresiasi kinerja polri,"['edy', 'mulyadi', 'sangka', 'legislator', 'hukum', 'apresiasi', 'kerja', 'polisi republik indonesia']",positif
02/02/2022 01:55:16,melihat kinerja polri semakin lemah sdh selayaknya ikut membantu mengamankan,"['lihat', 'kerja', 'polisi republik indonesia', 'makin', 'lemah', 'layak', 'ikut', 'bantu', 'aman']",positif
02/02/2022 02:10:09,sambut baik kita utk kinerja polri prokes tangkal omicron,"['sambut', 'baik', 'kerja', 'polisi republik indonesia', 'prokes', 'tangkal', 'omicron']",positif
03/02/2022 01:49:20,yang seharusnya diganti itu kinerja polri bukan seragam satpam masyarakat selama ini kan jengkel sama polisi polisi malas yang baru gerak kalau udah viral di medsos tv pr besar lo itu pak anak buahnya yang gak bisa kerja tuh diganti aja,"['ganti', 'kerja', 'polisi republik indonesia', 'bukan', 'seragam', 'satpam', 'masyarakat', 'lama', 'kan', 'jengkel', 'sama', 'polisi', 'polisi', 'malas', 'baru', 'gerak', 'viral', 'media sosial', 'tv', 'pr', 'besar', 'pak', 'anak', 'buah', 'kerja', 'ganti']",negatif
03/02/2022 02:46:47,tokoh adat dayak loksado memberikan apresiasi atas kinerja polri,"['tokoh', 'adat', 'dayak', 'loksado', 'beri', 'apresiasi', 'kerja', 'polisi republik indonesia']",positif
03/02/2022 03:47:03,polri harus independen jangan tebang pilih perbaiki kepercayaan rakyat dengan bukti kinerja yg profesional,"['polisi republik indonesia', 'independen', 'tebang', 'pilih', 'baik', 'percaya', 'rakyat', 'bukti', 'kerja', 'profesional']",positif
03/02/2022 03:51:59,kinerja lembaga pemerintah polri kejaksaan ri amp kpk semakin efektif berani dan profesional dalam memberantas korupsi ppkm tangkal omicron,"['kerja', 'lembaga', 'perintah', 'polisi republik indonesia', 'jaksa', 'ri', 'kpk', 'makin', 'efektif', 'berani', 'profesional', 'berantas', 'korupsi', 'ppkm', 'tangkal', 'omicron']",positif
03/02/2022 04:03:57,bravo polri tingkatkan kinerja tanpa pandang bulu,"['bravo', 'polisi republik indonesia', 'tingkat', 'kerja', 'pandang', 'bulu']",positif
03/02/2022 07:47:12,kewenangan propam polri diperluas untuk tingkatkan kinerja,"['wenang', 'propam', 'polisi republik indonesia', 'luas', 'tingkat', 'kerja']",positif
